Area Name,Area ID,Park Name,Park ID,Squirrel ID,Primary Fur Color,Highlights in Fur Color,Color Notes,Location,Above Ground (Height in Feet),Specific Location,Activities,Interactions with Humans,Other Notes or Observations,Squirrel Latitude (DD.DDDDDD),Squirrel Longitude (-DD.DDDDDD)
UPPER MANHATTAN,A,Fort Tryon Park,01,A-01-01,Gray,White,,Ground Plane,,,Foraging,Indifferent,,40.85941,-73.933936
UPPER MANHATTAN,A,Fort Tryon Park,01,A-01-02,Gray,White,,Ground Plane,,,Foraging,Indifferent,Looks skinny,40.859436,-73.933937
UPPER MANHATTAN,A,Fort Tryon Park,01,A-01-03,Gray,White,,Ground Plane,,,"Eating, Digging something",Indifferent,,40.859416,-73.933894
UPPER MANHATTAN,A,Fort Tryon Park,01,A-01-04,Gray,White,,Ground Plane,,,Running,Indifferent,,40.859418,-73.933895
UPPER MANHATTAN,A,Fort Tryon Park,01,A-01-05,Gray,Cinnamon,,Ground Plane,,,"Running, Eating",Indifferent,She left food,40.859493,-73.93359
UPPER MANHATTAN,A,Fort Tryon Park,01,A-01-06,Gray,Cinnamon,,Ground Plane,,,Climbing,Indifferent,,40.860825,-73.932871
UPPER MANHATTAN,A,Fort Tryon Park,01,A-01-07,Gray,White,,Ground Plane,,,Foraging,Indifferent,,40.860225,-73.933143
UPPER MANHATTAN,A,Fort Tryon Park,01,A-01-08,Black,Gray,,Above Ground,10,,Climbing,Runs From,,40.859965,-73.933412
UPPER MANHATTAN,A,Fort Tryon Park,01,A-01-09,Gray,White,,Ground Plane,,,Foraging,Indifferent,,40.859892,-73.933326
UPPER MANHATTAN,A,Fort Tryon Park,01,A-01-10,Gray,White,,Ground Plane,,,"Eating, Digging",Indifferent,,40.859636,-73.933717
UPPER MANHATTAN,A,Fort Tryon Park,01,A-01-11,Gray,Black,,Ground Plane,,,"Eating, Digging",Indifferent,was intimidated by a dog,40.859576,-73.933738
UPPER MANHATTAN,A,Fort Tryon Park,01,A-01-12,Gray,White,,Ground Plane,,,Running,Runs From,,40.859989,-73.934544
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-01,Gray,Gray,,Ground Plane,,,Running,Indifferent,,40.845749,-73.9407
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-02,Gray,Cinnamon,,Above Ground,2,,Foraging,Indifferent,,40.845875,-73.940808
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-03,Gray,Cinnamon,,Ground Plane,,,Foraging,,,40.845875,-73.940808
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-04,Gray,Cinnamon,,Ground Plane,,,Running,Indifferent,,40.846088,-73.940613
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-05,Gray,Cinnamon,,Ground Plane,,,Running,Runs From,,40.846088,-73.940613
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-06,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.846088,-73.940613
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-07,Gray,Gray,,Ground Plane,,,,Runs From,,40.846222,-73.94094
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-08,Gray,Cinnamon,,Ground Plane,,,"Foraging, Nesting/gathering leaves",Indifferent,,40.846222,-73.94094
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-09,Gray,Cinnamon,,Ground Plane,,,Chasing,Indifferent,,40.846197,-73.941026
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-10,Gray,Cinnamon,,Ground Plane,,,Running,Indifferent,,40.846185,-73.940613
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-11,Gray,Cinnamon,,Ground Plane,,,Eating,Runs From,,40.846271,-73.940579
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-12,Gray,Cinnamon,,"Above Ground, Specific Location",15,tree,Climbing,Indifferent,,40.846332,-73.940369
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-13,Gray,White,,"Above Ground, Specific Location",20,tree,Sleeping,Indifferent,,40.846332,-73.940369
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-14,Gray,Gray,,Ground Plane,,,Running,Indifferent,,40.846332,-73.940369
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-15,Gray,White,,Ground Plane,,,Running,Indifferent,,40.846458,-73.94103
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-16,Gray,Cinnamon,,"Above Ground, Specific Location",20,tree,Eating,Indifferent,,40.846417,-73.941115
UPPER MANHATTAN,A,J. Hood Wright Park,02,A-02-17,Gray,Gray,,Ground Plane,,,Running,Indifferent,,40.846296,-73.941132
